                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6628,                 3.4325,                 1.6687,                0.43404,                 0.1979,                0.38323,                0.20857,                 1.3622,                 2.7732,                 1.3585,             0.00047079,             0.00047079,             0.00047079
                      2,                 1.6002,                  2.568,                 1.5565,                0.54532,                0.51753,                0.60467,                0.28265,                 1.6101,                 2.5048,                 1.7355,             0.00092837,             0.00092837,             0.00092837
                      3,                  1.618,                 2.4817,                 1.5333,                0.46327,                 0.5484,                0.47836,                0.23774,                 1.5088,                 2.2865,                 1.6198,              0.0013671,              0.0013671,              0.0013671
                      4,                 1.6273,                  2.529,                  1.602,                0.44049,                0.48716,                0.47162,                0.24041,                 1.5543,                 2.3759,                 1.5928,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.5659,                 2.3693,                 1.5876,                0.52158,                0.52766,                0.59182,                0.33939,                 1.4884,                 2.2069,                 1.5506,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.5911,                 2.4143,                 1.6102,                0.57786,                0.58092,                0.59732,                0.33417,                 1.4776,                  1.924,                 1.5536,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.5554,                  2.113,                 1.5011,                0.60615,                0.54571,                0.63121,                0.37701,                 1.4608,                 2.3425,                 1.5667,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.6261,                 2.0948,                 1.5605,                0.60418,                0.57185,                0.66205,                 0.4152,                 1.3766,                 1.9703,                 1.4718,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.5516,                 2.0548,                 1.5187,                0.62763,                0.71621,                0.74939,                0.44723,                 1.4111,                   1.93,                 1.5015,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.4592,                 1.8493,                 1.4782,                0.64155,                0.66062,                0.73588,                0.44354,                 1.3891,                 1.6935,                 1.4441,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.4542,                 1.8216,                 1.4743,                0.68067,                 0.6229,                0.72867,                0.44817,                 1.4049,                 1.6934,                 1.4905,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.4756,                 1.9102,                 1.4869,                0.69157,                0.66876,                0.75495,                0.46787,                 1.3522,                 1.5673,                 1.4329,              0.0011461,              0.0011461,              0.0011461
